2,3,SibSp,Parch,Sex_New,Q,S,Age_new,Fare_new,Survived
0,1,1,0,0,0,1,-0.5303766406838785,-0.5024451714361923,0
0,0,1,0,1,0,0,0.571830994003175,0.7868452935884461,1
0,1,0,0,1,0,1,-0.25482473201211503,-0.4888542575852486,1
0,0,1,0,1,0,1,0.36516706249935255,0.4207302360686478,1
0,1,0,0,0,0,1,0.36516706249935255,-0.4863374216869257,0
0,1,0,0,0,1,0,2.388378943731429e-16,-0.47811642890864375,0
0,0,0,0,0,0,1,1.6740386286902287,0.395813560675251,0
0,1,3,1,0,0,1,-1.9081361840426954,-0.22408312108167944,0
0,1,0,2,1,0,1,-0.1859367548441742,-0.4242561406845337,1
1,0,1,0,1,0,0,-1.0814804580274051,-0.04295550208861426,1
0,1,1,1,1,0,1,-1.7703602297068137,-0.312172377522981,1
0,0,0,0,1,0,1,1.949590537361992,-0.11384570873513637,1
0,1,0,0,0,0,1,-0.6681525950197601,-0.4863374216869257,0
0,1,1,5,0,0,1,0.6407189711711159,-0.01870931177853076,0
0,1,0,0,1,0,1,-1.0814804580274051,-0.4902797934380587,0
1,0,0,0,1,0,1,1.7429266058581694,-0.3262666585535892,1
0,1,4,1,0,1,0,-1.9081361840426954,-0.06199888922968463,0
1,0,0,0,0,0,1,2.388378943731429e-16,-0.3866707201133388,1
0,1,1,0,1,0,1,0.08961515382758917,-0.2859972841804228,0
0,1,0,0,1,0,0,2.388378943731429e-16,-0.5029485386158568,1
1,0,0,0,0,0,1,0.36516706249935255,-0.12491978668775715,0
1,0,0,0,0,0,1,0.2962790853314117,-0.3866707201133388,1
0,1,0,0,1,1,0,-1.0125924808594644,-0.4867562231804066,1
0,0,0,0,0,0,1,-0.11704877767623337,0.06635974158478332,1
0,1,3,1,1,0,1,-1.4948083210350502,-0.22408312108167944,0
0,1,1,5,1,0,1,0.571830994003175,-0.016444159470040135,1
0,1,0,0,0,0,0,2.388378943731429e-16,-0.5029485386158568,0
0,0,3,2,0,0,1,-0.7370405721877009,4.647001076532463,0
0,1,0,0,1,1,0,2.388378943731429e-16,-0.48977642625839407,1
0,1,0,0,0,0,1,2.388378943731429e-16,-0.4894421904510968,0
0,0,0,0,0,0,0,0.7096069483390568,-0.09027201697708476,0
0,0,1,0,1,0,0,2.388378943731429e-16,2.301728820789,1
